tweet,label_emotion,label_sentimen,label_hate
apa hebat mardani turut saya oeang ini cuma besar mulut saja fakta sampai saat ini belum sebut calon presiden lagi pula kalau koalisi hanya partai adil sejahtera dan gerindra tidak mungkin lah yaow,anger,negatif,1
oh iya ibu nya lahir anak ke yaitu cewek tapi tidak tahu tahun berapa nya lanjut yang tadi baru saja tahun di kasih nikmat datang lagi uji buat sih emak emak kali ini mungkin berat dia di tinggal suami tinggal ketika ibu itu jadi singel parent,sadness,netral,0
z suka twitter soalny perempuan ji semua teman di sini biar omel sampai tablengker ndada bahaya bahas monsteration juga bebas bahas tidak puasa juga bebas di wa mau baru status stres monsteration kita harus tapi dulu blok semua cowok baru mengupdate,happy,positif,0
tidak erti lagi sama ciwiciwi yang nyinyir via vallen ini dia itu korban lah susah itu untuk saling support satu sama lain gurlzz,anger,negatif,0
hari ini libur rencana mau tonton jurassic world tapi kayak tidak jadi deh ingat kondisi yang tidak fit banget ini kesal rusak rencana belanga kesal aku itu,anger,negatif,0
nah ini yang tunggu anak anteng dengan sabar luas samudra terus bapak datang bikin anak menang hmmm ingin marah lampias,anger,negatif,0
ku rindu bisik kamu di telinga seraya kamu kata moga kelak kamu jadi anak yang guna bagi banyak orang dan moga kamu selalu sayang kami orang tua kamu,love,positif,0
ini hasil sekolah asal sekolah mikirlah mahkamah internasional itu punya wenang adil perkara genosida dan bagai,anger,negatif,1
lah kamu yang harus tanya kakak perempuan kenapa bisa asumsi gue adalah kacang tanpa kulit maksud apa hayo ke sana juga kan maksud loooo,anger,negatif,1
web permata kurang profesional ada program cashback ribu token usaha listrik negara waktu di klik informasi masuk ke program paket kuota data bagaimana ini,anger,negatif,0
nah yang saya takut itu mas nanti di tumpang politik balut agama itu yang bahaya soal masyarakat kita sedang sensitif dengan hal sebut,fear,negatif,0
mau cerita siapa kalau sudah kayak begini hancur hidup ini pikir dong bagaimana hati ku aku sedih aku menang sampai tetes air mata ini kayak lirik lagu sayang pia palen deh wkwk,sadness,netral,0
telah hari puasa dan saur tidak pernah siang akhir di hari ke rasa makan saur supeerrr dupeerr ekspress menit belum imsak baru bangun yassalaaam,sadness,netral,0
jadi ada tunjang hari raya tapi dari anggar dapat dan belanja daerah yang punya kuasa takut kalau kalau di garis bawah sama komisi berantas korupsi dan jadi mereka gagal dapat tunjang hari raya tahun ini kok bisa begitu ya buk menteri bilang aman yang lain takut,fear,negatif,0
tolong bantu saya kenapa ya lptop saya sudah kali kok tidak bisa buka dokumen pasti not respondingpdhal sudah pernah bawa ke handphone center moga apakah lptop saya masuk produk gagal atau gimanabeli maret dan kalau begini terus kan jadi jgkel sendiri,anger,negatif,0
ini sudah masuk ke proses jual tapi pas buka detail kok bahkan begini apakah produk sedang proses atau proses tanggal,anger,negatif,0
semen indonesia belum tambang lah di rembangmalah ada usaha yang lokasi hanya meter dari areal tambang semen tidak pernah protes dan ini sudah tahun lamanyaknp kok pas semen protes,anger,negatif,0
siapa yang bilang punya anak senang terus sodor anak yang tantrum karena antuk tapi tidak mau tidur istigfar kencang,anger,negatif,1
rasa bodoh ketika tahu sesuatu dan tidak boleh di bicara ke orang lain nah lalai bahkan balik jadi bahkan ubah siklus dan alur waktu yang harus itu jadi,sadness,netral,0
punya sahabat cowok ini tapi sering nya tidak konsisten terus sering bohong lagi kenapa sih sudah kali marah karena sering bohong tapi tidak mempan juga apa kodrat suka bohong apa bagaimana,anger,negatif,1
kalau tahu ada libur panjang selain lebaran itu rasa ingin cepat gendong cerrier pakai sepatu terus pergi ketemu alam dan damai dengan,happy,positif,0
siapa bilang kafir gabung sama khilafah saudara laki jangan alih isu anda itu siapa selundup dari kaum bumidatar olah profesional pancasila,anger,negatif,1
ngomong-ngomong doa restu orang tua itu memang giling ya pas sudah mentok cari literatur tambah temu saja dong di rumah padahal dari kemarin sudah panik harus mes dari banyumas apakah ini berkah ramadan,happy,positif,0
salah satu contoh tidak tahu terima kasih padahal datang pas sudah kenal tapi wannaone ckckckc yang dulu juang siapa jawab sendiri sama kok deh ingin ones swing entertainment warns legal action against fansite masters via,anger,negatif,1
dari pagi rasa sakit perut kira mau haid sudah beli kiranti pas di cek bahkan tidak ada tolong atulah haid sekarang saja biar bisa ikut salat idulfitri,fear,negatif,0
turut duka cita buat kawan a cak moga keluarga yang di tinggal a bisa di beri sabar amp meridoi pergi almarhum sajete wani,sadness,netral,0
jaring mati ya tidak bisa buka mobile jkn saya mau ke puskesmes terus bagaimana mau tunjuk kartu elektoniknya kecewa,anger,negatif,0
kamu belum lahir atau belum sekolah bong saya rasa atau bapak kamu partai komunis indonesia bong bandit rampok atau jenis yang menganggu orang banyak pak soeharto bilang kejam hanya oleh orang partai komunis indonesia bandit rampok bong bong bongakkk,anger,negatif,1
bagi yang dulunya usaha terus sekarang jadi karyawan macam saya pasti bawaannye ingin usaha lagi tidak ada yang atur flexible lebih banyak uang faaak,anger,negatif,1
salah satu efek rapi sama bom bagi orang yang mau bikin event negara lain takut ke yoyakarta dan indonesia karena jadi aku lagi ada event internasional dan beberapa negara belum konfirmasi karena takut sama rapi sama teror juga moga rapi lekas reda moga tidak ada bom lagi,sadness,netral,0
baik gubernur anies baswedan mosi tidak percaya biar lengser,anger,negatif,1
kaum oposisi tidak bikin geger di media termsk media sosial ketika rupiah kuat musim ribut khusus waktu jadi lemah saja dengan salah semua kepada presiden,anger,negatif,1
lagi puasa tapi dari pagi sudah kesana kemari bawa alamat eh ayuting kali enggk ding ini kenapa siang tetangga belah goreng telur ya kan bau sampai hidung saya hikss bagaimana sih mbak,sadness,netral,0
heee aku kemarin lihat hoax tetangga pohon plastik pertama kali dari akun anda ygdisebarkan lewat facebook ini bukan saja nol besar tapi sekaligus tonjok muka junjung sendiri terima kasih,anger,negatif,1
min ini bagaimana kurir salah kirim bahkan ke alamat orang terus tanggung jawab bagaimana tolong respon cepat terima kasih,anger,negatif,0
ini pas banget saya habis baca buku ada bule dekat bilang cari rumah samamobil dicariin mobil sama rumah mewah sih bule ok dan niat kirim uang sekitar juta tapi pakai pos bilang sama hadiah lain tapi tidak masuk akal kirim yang banyak itu pakai pos,fear,negatif,1
masalah itu uang buat konsumsi buka puasa bareng anak yatim yang harus bayar ke katering,anger,negatif,1
niat ke masjid salat nya di lantai harap bisa obob manjah karena biasa tidak banyak yang salat di sini fact fullhouse sampai shaf belakang selamat tinggal,sadness,netral,0
paling excited kalau obrol sama orang kreatif siap saja kalau bakal cengang sama ide mereka yang mungkin belum pernah pikir oleh oh iya kenapa aku baru pikir,happy,positif,0
miris cipta karya dengan susah payah yang uras pikirantenagawaktu dan materi kalah oleh oknum yang jiplak danatau sekadar terima beres manfaat karya orang lain dengan gimmik dan sensasi bagaimana turut,anger,negatif,1
belah mana stereotypingnya dari nyata saya coba tunjuk siapa tahu saya salah bicara bagus dong kalau banyak yang kecam makin banyak makin dengar suara untuk benar makin bagus kalau benar tapi kalah keras sama yang salah itu yang harus atas,anger,negatif,1
tipikal cowok menye menye banget ini paling tidak bisa ajak argumen salah orang dan keluh terus ini manusia maha sempurna ingin maki bodoh tapi puasa,anger,negatif,1
tiada henti nya aku ucap syukut alhamdulillah sekarang aku bisa uang jadi panitia kemarin alhamdulillah trmkah kamu bank rakyat indonesia brlmpah meski tidak sbrpa inysllh lama mmbukit amn,happy,positif,0
kamu mau bicara apakayaknya kamu dendam kepada aniespernah sakit oleh gubernur anies salah apa anies kpdmu kenapa dendam kamu klmpok daerah khusus ibukota yang tidak puny gubanies bukan pada tempat kamu maki aniessalah,anger,negatif,1
ketika di grup keluarga sudah pada bicara mudik duuh ingin mudik tapi apa daya suami libur cuma hari dari hari h lebaran itu juga kalau tidak di telepon suruh masuk tahun lalu bahkan habis salat eid langsung kerja,sadness,netral,0
orang yang pernah kalah dalam tarung politik sulit untuk bisa sembuh karena mereka tidak bisa raih impi dan sudah hilang banyak harta,sadness,netral,0
nggada sinyal di rumah buat banyak pikir pikir doang tapi pikir ke mana mana random tapi pasti ada dia,sadness,netral,0
ada kabar kasus tuduh chat mesum hadap imam besar habib rizieq sudah henti mohon bantu doa moga benar ada moga suci ramadan buka mata hati bapak kita yang menyidikamin,fear,negatif,0
jangan ngecengin aku lagi ya guys orang ini sudah ada blog juga ya walaupun tulis tidak jam dini hari sih,fear,negatif,0
cari orang yang selalu sudut ansor sabar itu bagus tapi kalau terus terus fitnah salah jangan tinggal diam saat,anger,negatif,1
halohaa selamat siang denise sudah pulang sekolah belum ini jangan lupa makan siang ya oh iya bagaimana sudah sehat kan kamu kalau memang masih kurang sehat ya banyak istirahat saja sekarang kak selalu tunggu kok twit dari ke,love,positif,0
itu lah bodoh kamu bong suruh baca tidak mau baca pbb cikal bakal dari masyumi pbb keluarga besar bulan bintang masyumi dasar bong,anger,negatif,1
mudah sudah terupload semua belum z mudik karena fan modal kuota pun butuh daerah dengan jaring yang bagus hiksss hitung jam juga baru slsi kalau z mau unduh ini di rumah tapi,fear,negatif,0
orang dukung khilafah memang harus di black mail,anger,negatif,1
jangan sok akrab ya mention mention saya maling dulu saja yang benar nanti kalau sudah sukses jadi malingnye baru saya balas balas mention kamu kamu pada salamsatunyalilari bonekjancuk,anger,negatif,1
alhamdulillah prof telah bicara malam di adem rasa moga bawa berkah amin ya rabi aalamiin,happy,positif,0
keren kirakira masih ada tidak yang bilang pak antiislam triliun hektar jadi kampus rujuk islam dunia kelas alazhar belum lagi proyek pondok pesantren madrasah masjid dan fasilitas umat lain kalau ada yang masih bilang beliau an,happy,positif,0
saya kan datang untuk tanya kemudian obrol itu sama mbak mbak help desk tapi saya tetap tidak erti karena tidak dapat jawab yang jawab tanya saya terus mbak lama lama agak emosi ya sudah makin tidak jawab dong terus saya pulang,anger,negatif,0
sering itu aku begitu pas kalau baru ketemu apsara lagi kok awat makin banyak makin gendut saja sih wah senyum saja iya saja dalam hati banyak bicara kamu anjing,anger,negatif,1
kalau sifat buruk mungkin bisa ubah dengan tambah umur atau ubah ada kalau biasa buruk mungkin sulit ya karena macam sudah jadi hobi begitu tidak sih,fear,negatif,0
berdesakanbejubelan di kereta listrik adalah salah satu goda dalam berpuasaapalagi di depan nya ada wanita cantik sambil kunyah tahu gejrothehe,fear,negatif,1
belanjaitugakribet nyata cuma slogan doangstelah dkomplen nyata dbatalin pihak dan nama besar itu tidak jamin profesional yatrus sampai ke pihak official store kalau saya yang batalinpdhl sama sekali tidak saya batalinjd sekarang saya sudah tahu kal,anger,negatif,1
happy birthday to us dan happy tahun anniv wkwk sebentar lagi kita putus huhu aku harus cari pacar baru,happy,positif,0
terus baca komennya pada bilang kalau musik itu haram dan bla bla nah di sini aku tahu kalau fanatik kan memang tidak boleh tapi kalau sekadar suka begitu bagaimana,fear,negatif,0
rabu anakbujangku selesai tempuh didik di tidak bhakti ibu bakauheni eit nyata ia dapat piala juga hehe,happy,positif,0
saya hidup zaman presiden hebat yaitu soeharto beliau buat aman dan tenang untuk masyarakat tetapi tidak tenang untuk kaum partai komunis indonesia kaum rampok kaum bandit kaum yang ingin jadi jabat negara tapi otak kosong hanya kaum itu yang tidak suka bapak soeharto,anger,negatif,1
sama segenap dewan guru terima kasih telah bimbing anak kami lama ini bu moga ibuibu semua mudah segala urus dan ilmu yang ibu ajar jadi amal jariah yang pahala akan terus alir ke ibu lama,happy,positif,0
saya memang tidak acuh sih banget banget bahkan tapi kalau ada yang buat risih atau tidak nyaman ya hati saja lah pokok jangan sampai saya ajak kumpul breng,anger,negatif,1
bagi anda anda yang anugerah gigi rapi dari lahir syukur karena pakai behel nyata lebih sakit daripada sakit hati menurutguesih,sadness,netral,0
alhamdulillah piedi rumah sakit umum pusat kariadi ini benar urus jadi sudah tidak panas tinggi lagi soal langsung kasih paracetamol yang botol,happy,positif,0
lihat sudah terlalu banyak proyek yang jatuh bahkan jadi scam dan fraud asli saya ingin coba deh bawa mereka sama creator creator mereka yang sudah bawa kabur uang banyak orang masuk saya ke ranah hukum indonesia,anger,negatif,1
soal via vallen saya sepakat sama nikita mirzani jangan lebih kalau tidak suka di begitu tinggal tolak dan blok itu orang jangan di bagi jadi konsumsi publik seperti ingin tampil polos tidak dosa bagaimana begitu menurutkusih,anger,negatif,1
baru ngerusuh di balai desa terus pas mau pulang tadi bu lurah tanya mbak ulfah itu teman yang satu ke mana sih kok tidak lihat ha teman saya buk oh bu lurah iya yang biasa bareng dari senin tidak berangkat loh tunggu dari senin,fear,negatif,0
mbak pps itu pasti ada apaapa mbak ulfa juga pasti rasa ini kok tidak ada sebentar sebentar dia kenapa lagi sih dari senin tidak berangkat bikin khawatir saja tt,fear,negatif,0
aduh ini lagi satu cewek yang sudah pikir jahat jari jari jahat nikmat he mbak memang nyanyi dangdut itu auto lonte lonte juga bisa kena sexual harassment mbaaaak,anger,negatif,1
kamu kenapa sih galau melulu kamu kalau galau banyak diam kalau lagi senang tidak bisa diam mangat dong kak nanas senang itu bisa nularin ke orang lah tertawa,sadness,netral,0
sudah juta kali bong kasih tahu pak harto hanya kejam partai komunis indonesia bandit rampok kamu turun kelompok mana bong haha,anger,negatif,1
sebentar lagi ketemu krucilkrucil ponakan yang gemas banget suka nya minta main berantemberanteman seru sih meski ya risiko pada pegelpegel nanti sedikitsedikit sambil ajar hitung agar jadilebihbaik lagi nanti pas masuk sekolah,happy,positif,0
lalu bagaimana dengan negara mereka akan hilang banyak dapat dari cukai rokok hutang negara akan makin banyak ah itu kan hanya benar saja coba lihat ini bagaimana apa dapat masih sama,anger,negatif,1
eh tapi numbuhin brewok juga buat senang diri sendiri sih compliment dari sama cowok bonus lah tapi tidak rawat sedikit langsung tumbuh liar atau gatal banget,fear,negatif,0
indekos dekat kantor datang paling lambat terus kalau siang tidur pula selonjor di sofa teman kantor kayak begini memang perlu ejek tai sih,anger,negatif,1
sih ini tidak bisa enak dewe lepas tanggung jawab ke backers cuma dasar toc antara kickstarter selaku sedia platform crowdfunding creators dan backers toc tetap tunduk ke hukum yang laku di governing law sih toc saya mau cari legal loophole nya,anger,negatif,1
ada anak sama habis pisah atau macam wisuda sekolah foto bareng sama tementemennya jawat dengan pakai kebaya lalu di post di instagram dengan caption nanti siapa ya yang bakal nikah lebih dahulu ku langsung tunduk lesu dan seraya ingin minum ekstra joss cuk,sadness,netral,0
saya sih jadi orang slow mau di omong a to z asal ale banyak makan tidak cranky berat naik sudah bahagia masalah apa jadi kayak tidak ada ibu banget sih sekarang,happy,positif,0
ganti presiden siapa takuthanya siapa calon apa sih dia yang sana ih tidak syudih,anger,negatif,1
para tipu kasihan ibu kota negara saya di pimpin sama mereka yang haus jabat tanpa penting rakyat tai buat,anger,negatif,1
pergi antar sama teman tidak bawa handphone sudah janji biar jemput jam tengah karena saya tidur dan yang jemput tidak nongol bingung mau gimana akhir jalan kaki kamu siang bolong ngeri kali lah vanashh syekaleh vemirsyahh,fear,negatif,0
iya kamu lakilaki sang ambil putus tapi kan aku juga ingin anggap ajak diskus minta dapat ajak cari jalan keluar atau sekadar tenang cemas aku ini ada jangan hidup sendiri,sadness,netral,0
akhir ingin kata juga aku tidak mau sakit kenapa migrain ini harus datang saat lagi byknya masalah yang butuh tenaga pikir apalagi sebentar lagi harus mudik ya allah kenapa coba,sadness,netral,0
ingin cerita dari kemarin tidak sempat beberapa hari yang lalu tarawih di masjid tidak konsentrasi banget posisi lagi sial bagaimana tidak posisi salat di shaf depan ada mas pakai sarung terus sarung nya jiplak pantat pas banget ketat sial ingin tertawa tapi lagi salat syit,happy,positif,0
selamat moga lancar dan dapat sempat pandang orang orang di panggung break a leg,happy,positif,0
tidak jamin deh tapi bagaimana pak police siap tidak kerja tanpa pungut liar dan jenis korupsi pungut liar itu bagai addicted sekali coba enak tambah lagi deh generasiantikorupsi,fear,negatif,0
lo kok rendah semangat lindung perempuan sih justru jadi cewek itu harus tegas dan galak sama laki seperti begitu di blok saja udahngapain di bagi sampai se indonesia tahu,anger,negatif,0
sudah minggu tidak ada kabar wkwk aku sibuk urus rapot sama ijazah anak terus tidak tanya kabar dia juga lama minggu sahabat macam apa kamu,sadness,netral,0
haaaa syabar saja bom waktu buat ikutttt perintah ajanihhh yang tumben beri libur kepanjangaaannnnnn,sadness,netral,0
mohon jangan paksa saya buat include mana harap sopan dan jelas kalau mau bo jangan labil tidak jelas will be blok tentu saja yang sudah taatin rule saya utama,anger,negatif,1
buka tidak pernah di amandemen cebong busuk atas berkat rahmat allah yang maha kuasa kamu baca buka undang undang dasar di situ semua dasar negara ri bongo memang bongak,anger,negatif,1
apa sih susah apresiasi sedikit saja sama apa yang sudah laku oranglain dengan beri hak nya tepat waktu kira gap butuh kali ya gilir masalah kerja nomor mau lagi ijinlibur tetap saja hajar terus ketjewalah saya,anger,negatif,0
ya tutup mata karena jabat bukan cuma pintar tapi tahu etika masa dalam satu kabinet main serang berani ya berani tapi etika di mana emang kabinet gundul,anger,negatif,1
sedang apa pada ramai pikir cari baju lebaran memang harus ya kalau aku adalah tiap hari pakai baju lebaran soal kalau pakai baju sempit ngaaap iyainajabiarcepet,happy,positif,0
lewat tengah hari moga hari senang ya ayo semangat,happy,positif,0
saya itu biasa beli shopee pakai atm manual asal cocok jumlah di verifikasi otomatis eh ini enak jadi teledor pakai akun sepupu saya bahkan tidak otomatis pesanannnya kecancel ya allah malih saya kapan ya henti bodoh,sadness,netral,0
kayak saya kalau shopee memang jangan titip akun orang deh mau irit ongkos kirim apa bagaimana dulu titip firsta pesan lenti donghan yang datang boneka pokemon,sadness,netral,0
terima kasih teman hmj di awat stikes al irsyad cilacap sudah bagi bahagia sama mbah kakung dan mbah putri,happy,positif,0
saya tidak suka tidak senang sama yang nama maling cuma saya juga tidak senang kalau maling gebuk sampai ayah ibu banget apalagi sampai bakar dan bunuh,sadness,netral,0
manusia rakus bunda menteri sudah advokat rampok juga banyak tahu rahasia negara waktu di istana sama orde baru bandit banget,anger,negatif,1
usaha listrik negara emang php surat edar maintain daerah a sampai jam tapi sekarang sudah jam listrik belum hidup juga kalau lambat sedikit bayar tagih langsung denda ini kalau mati listrik melulu dapat potong tidak,anger,negatif,1
bagai supporter saya tidak suka barca tapi bagai cinta sepak bola saya suka ini film keren lah heartofalio,happy,positif,0
konyol banget mbak komentar anda main ignore saja kira hal begitu sepele banget dia tidak nyaman makanya di publish biar beri ajar buat orang yang mau punya niat goda biar tidak terus niat kalau tidak ken di permaluin reminder juga bua,anger,negatif,1
fahri aktivis nol isi mana reformasi kamu tidak ubah apa kecuali koar koar bebas di negeri mustinya golkar kamu bubar harto turun golkar lenggang jaya kata amien raisa bodoh,anger,negatif,1
thread ini sembah oleh wanita yang permisif hadap leceh yang alami wanita lain dengan alas jadi seperti itu banyak jadi dan tidak ada yang adu khanmaen,anger,negatif,0
ada yang lebih geli ketimbang kasus sexual harassment yang timpa via vallen para politis amp partai politik manfaat bagai panggung tunjuk dengan dalih bela korban hilihkinthil,anger,negatif,1
kok sih drummer ini lucu sih muka seperti sebal tapi gemas terus mulai dibiasin receh itu saya punya bias,happy,positif,0
macet parah di kemang di belah mobil saya parkir gerobak mie ayam yang luar biasa gugah selera padahal baru lihat gerobak doang,sadness,netral,0
pernah ngomel karena begini terus bang ojolnya bahkan solot bilang kalau ikut macet jalan normal saya yang rugi neng bensin jauh mbak puter balik rugi saya what the hell,anger,negatif,1
selamat ulang tahun my lovely istri amie amoy wish untuk all the best moga selalu ada di dalam lindung subhanahu wa taala panjang umur senantiasa bahagia sama keluarga dan kerabat sehat selalu makin banyak rezeki dan selalu jadi wanita yang hebat bagi keluargaaamiin,happy,positif,0
satu yang mana bong haha habibie copot jabat pak prabowo itu ulah sih wiranto karena wiranto pakai habibie kembali jadi pangab tragedi itu yang harus tanggung jawab pangab bong bongak yang tembak polisi,anger,negatif,1
baik kalau soal ham mau tanya koruptor waktu maling mikirkan hak orang lain tidak koruptor itu sendiri adalah langgar ham cuma koruptor yang bela koruptor politis bebal,anger,negatif,0
